iter	Logloss
0	0.6775444434
1	0.6629134967
2	0.6492439877
3	0.6354589681
4	0.6226541411
5	0.6109011918
6	0.5987457304
7	0.5874405851
8	0.5767325191
9	0.5674482831
10	0.5574835518
11	0.5470788221
12	0.5376356798
13	0.5293497652
14	0.520875139
15	0.513091058
16	0.5056541058
17	0.4989286836
18	0.4914377497
19	0.4848718404
20	0.4778300329
21	0.4712193938
22	0.4651592096
23	0.4589736698
24	0.4531751723
25	0.4475257573
26	0.4422724682
27	0.4371793538
28	0.4331637096
29	0.428458732
30	0.4236648916
31	0.4190114611
32	0.4150339946
33	0.411065939
34	0.4072841097
35	0.4032368792
36	0.4001627274
37	0.3971398144
38	0.3937362515
39	0.3905811225
40	0.3870757393
41	0.3839288636
42	0.3809825501
43	0.377736473
44	0.3745862205
45	0.3716430394
46	0.3686424716
47	0.3659161701
48	0.364131474
49	0.3616443811
50	0.359372811
51	0.3572324533
52	0.3551684183
53	0.3528602063
54	0.3510816271
55	0.3497673918
56	0.3484422139
57	0.3464662225
58	0.3442087614
59	0.3428055538
60	0.3407705183
61	0.339026145
62	0.3370725569
63	0.3355879273
64	0.3346623477
65	0.3335631878
66	0.3323333475
67	0.3311692064
68	0.3299964467
69	0.3285341776
70	0.3268821629
71	0.325516351
72	0.3239987322
73	0.3225636975
74	0.3214594637
75	0.3200851596
76	0.3187122965
77	0.3177794991
78	0.3166810586
79	0.3153200008
80	0.3142890123
81	0.3129866066
82	0.3118361629
83	0.3107003771
84	0.3095869828
85	0.3082657156
86	0.3073380105
87	0.3064102207
88	0.3053247732
89	0.3045077706
90	0.3036418982
91	0.3025007263
92	0.3017894483
93	0.3003914576
94	0.2995828276
95	0.2985227198
96	0.2976837754
97	0.2969496216
98	0.2961366342
99	0.2953941092
100	0.2948462115
101	0.2936212127
102	0.2930305489
103	0.2924633089
104	0.2917851304
105	0.2910316015
106	0.2902726494
107	0.2892797623
108	0.2882658899
109	0.2874634549
110	0.2869819028
111	0.2860640521
112	0.2854537246
113	0.2845342379
114	0.2837762343
115	0.2830541666
116	0.282378128
117	0.281913247
118	0.2810678596
119	0.2803376033
120	0.2796486279
121	0.27891915
122	0.2783421267
123	0.2778284082
124	0.2771129454
125	0.27628418
126	0.2755634326
127	0.2750379159
128	0.2743706718
129	0.2736775256
130	0.2730553362
131	0.2725943884
132	0.2720202348
133	0.2713475364
134	0.2708420886
135	0.2701197394
136	0.2693618446
137	0.2689001135
138	0.268184031
139	0.2676130152
140	0.2670672971
141	0.2665913478
142	0.2657895759
143	0.2652927889
144	0.2644681957
145	0.2639684872
146	0.2634043794
147	0.262828984
148	0.2624167538
149	0.261941072
150	0.2612608914
151	0.2606099815
152	0.2599270686
153	0.2595188851
154	0.2588152093
155	0.2583450032
156	0.2578989556
157	0.2574422939
158	0.2569626156
159	0.256502571
160	0.2561659983
161	0.2558130162
162	0.2552352867
163	0.2547525316
164	0.254261009
165	0.2538518595
166	0.253236162
167	0.2527812467
168	0.2521375328
169	0.2517156084
170	0.2514491174
171	0.2510459057
172	0.2506011896
173	0.2503074172
174	0.2499110012
175	0.2493263479
176	0.249053786
177	0.2485000964
178	0.2479998016
179	0.2475432116
180	0.2471125465
181	0.2466421923
182	0.2462046649
183	0.2459187992
184	0.2455281597
185	0.2452565912
186	0.244847061
187	0.2443196966
188	0.2440267088
189	0.2435443052
190	0.2432591208
191	0.2427928648
192	0.2423437388
193	0.2419757775
194	0.2415289967
195	0.2411226346
196	0.2406219528
197	0.2400965581
198	0.2397028137
199	0.2392810694
200	0.2387632773
201	0.2383685411
202	0.2378779061
203	0.2374457254
204	0.2370653468
205	0.2366732776
206	0.2363345495
207	0.2359040197
208	0.23559341
209	0.2351917324
210	0.2349046907
211	0.2345345059
212	0.2341397282
213	0.2336963979
214	0.2334101425
215	0.2331941416
216	0.2327353899
217	0.2324959352
218	0.232106085
219	0.2316581619
220	0.2314439374
221	0.2309581406
222	0.23057271
223	0.2301798284
224	0.2298832307
